genre,count,year
rock,68.0,1958
adult standards,63.0,1958
pop,56.0,1958
soul,27.0,1958
country,12.0,1958
folk,8.0,1958
funk,2.0,1958
quiet storm,2.0,1958
rock,181.0,1959
pop,160.0,1959
adult standards,141.0,1959
soul,65.0,1959
country,22.0,1959
folk,21.0,1959
funk,6.0,1959
quiet storm,5.0,1959
dance,1.0,1959
urban contemporary,1.0,1959
pop,206.0,1960
rock,206.0,1960
adult standards,176.0,1960
soul,85.0,1960
folk,29.0,1960
country,22.0,1960
funk,8.0,1960
quiet storm,6.0,1960
pop,217.0,1961
rock,207.0,1961
adult standards,188.0,1961
soul,108.0,1961
folk,36.0,1961
funk,18.0,1961
quiet storm,17.0,1961
country,15.0,1961
dance,3.0,1961
pop,234.0,1962
adult standards,195.0,1962
rock,188.0,1962
soul,125.0,1962
folk,51.0,1962
funk,23.0,1962
quiet storm,19.0,1962
country,13.0,1962
dance,4.0,1962
pop,259.0,1963
adult standards,201.0,1963
rock,186.0,1963
soul,151.0,1963
folk,72.0,1963
funk,32.0,1963
quiet storm,18.0,1963
country,10.0,1963
dance,5.0,1963
pop,262.0,1964
rock,241.0,1964
soul,186.0,1964
adult standards,162.0,1964
folk,97.0,1964
funk,46.0,1964
quiet storm,40.0,1964
country,15.0,1964
dance,11.0,1964
urban contemporary,1.0,1964
pop,291.0,1965
rock,284.0,1965
adult standards,179.0,1965
soul,177.0,1965
folk,171.0,1965
funk,46.0,1965
quiet storm,42.0,1965
country,38.0,1965
dance,23.0,1965
urban contemporary,2.0,1965
rock,293.0,1966
pop,288.0,1966
folk,195.0,1966
soul,177.0,1966
adult standards,141.0,1966
funk,58.0,1966
country,49.0,1966
quiet storm,45.0,1966
dance,28.0,1966
urban contemporary,4.0,1966
pop,277.0,1967
rock,273.0,1967
soul,207.0,1967
folk,181.0,1967
adult standards,137.0,1967
funk,79.0,1967
country,54.0,1967
quiet storm,45.0,1967
dance,26.0,1967
pop,233.0,1968
rock,230.0,1968
soul,204.0,1968
folk,155.0,1968
adult standards,108.0,1968
funk,91.0,1968
quiet storm,67.0,1968
country,50.0,1968
dance,33.0,1968
urban contemporary,4.0,1968
rock,236.0,1969
pop,216.0,1969
soul,198.0,1969
folk,150.0,1969
adult standards,100.0,1969
funk,86.0,1969
country,83.0,1969
quiet storm,68.0,1969
dance,31.0,1969
urban contemporary,2.0,1969
rock,229.0,1970
pop,176.0,1970
soul,172.0,1970
folk,138.0,1970
country,93.0,1970
funk,83.0,1970
quiet storm,77.0,1970
adult standards,76.0,1970
dance,48.0,1970
urban contemporary,5.0,1970
rock,251.0,1971
soul,158.0,1971
pop,148.0,1971
folk,141.0,1971
country,106.0,1971
adult standards,95.0,1971
funk,86.0,1971
quiet storm,78.0,1971
dance,50.0,1971
urban contemporary,2.0,1971
rock,248.0,1972
soul,151.0,1972
folk,138.0,1972
pop,136.0,1972
country,95.0,1972
funk,89.0,1972
quiet storm,77.0,1972
adult standards,66.0,1972
dance,61.0,1972
urban contemporary,10.0,1972
rock,215.0,1973
soul,159.0,1973
pop,134.0,1973
folk,117.0,1973
funk,113.0,1973
quiet storm,94.0,1973
country,84.0,1973
adult standards,81.0,1973
dance,67.0,1973
urban contemporary,9.0,1973
rock,211.0,1974
soul,159.0,1974
funk,120.0,1974
pop,114.0,1974
folk,108.0,1974
quiet storm,103.0,1974
country,102.0,1974
dance,93.0,1974
adult standards,68.0,1974
urban contemporary,9.0,1974
rock,225.0,1975
soul,132.0,1975
dance,119.0,1975
folk,116.0,1975
pop,111.0,1975
country,103.0,1975
funk,99.0,1975
quiet storm,90.0,1975
adult standards,82.0,1975
urban contemporary,9.0,1975
rock,234.0,1976
dance,113.0,1976
soul,112.0,1976
pop,108.0,1976
country,93.0,1976
folk,91.0,1976
adult standards,82.0,1976
quiet storm,81.0,1976
funk,77.0,1976
urban contemporary,14.0,1976
rock,243.0,1977
pop,116.0,1977
dance,101.0,1977
folk,100.0,1977
country,92.0,1977
soul,82.0,1977
adult standards,76.0,1977
funk,70.0,1977
quiet storm,65.0,1977
urban contemporary,16.0,1977
rock,237.0,1978
pop,106.0,1978
folk,97.0,1978
dance,97.0,1978
country,88.0,1978
adult standards,73.0,1978
soul,64.0,1978
funk,55.0,1978
quiet storm,53.0,1978
urban contemporary,16.0,1978
rock,239.0,1979
pop,135.0,1979
dance,119.0,1979
folk,91.0,1979
country,82.0,1979
soul,57.0,1979
adult standards,50.0,1979
funk,47.0,1979
quiet storm,41.0,1979
urban contemporary,15.0,1979
rock,266.0,1980
pop,126.0,1980
folk,100.0,1980
country,100.0,1980
dance,93.0,1980
adult standards,71.0,1980
soul,58.0,1980
funk,49.0,1980
quiet storm,47.0,1980
urban contemporary,15.0,1980
rock,227.0,1981
pop,106.0,1981
dance,87.0,1981
country,80.0,1981
folk,70.0,1981
adult standards,57.0,1981
soul,56.0,1981
funk,56.0,1981
quiet storm,56.0,1981
urban contemporary,27.0,1981
rock,258.0,1982
pop,111.0,1982
dance,100.0,1982
country,68.0,1982
adult standards,59.0,1982
quiet storm,59.0,1982
funk,58.0,1982
soul,53.0,1982
folk,52.0,1982
urban contemporary,20.0,1982
rock,291.0,1983
pop,162.0,1983
dance,141.0,1983
folk,62.0,1983
country,59.0,1983
quiet storm,53.0,1983
soul,51.0,1983
adult standards,48.0,1983
funk,46.0,1983
urban contemporary,25.0,1983
rock,256.0,1984
pop,155.0,1984
dance,147.0,1984
quiet storm,48.0,1984
folk,46.0,1984
funk,45.0,1984
soul,44.0,1984
country,33.0,1984
urban contemporary,32.0,1984
adult standards,31.0,1984
rock,229.0,1985
pop,147.0,1985
dance,135.0,1985
quiet storm,57.0,1985
funk,52.0,1985
soul,44.0,1985
urban contemporary,43.0,1985
country,29.0,1985
folk,28.0,1985
adult standards,24.0,1985
rock,232.0,1986
pop,149.0,1986
dance,144.0,1986
quiet storm,52.0,1986
funk,49.0,1986
soul,44.0,1986
urban contemporary,43.0,1986
folk,32.0,1986
country,30.0,1986
adult standards,18.0,1986
