year_chart,collaboration
2018,231
2020,205
2019,188
2017,181
2011,146
2015,136
2013,116
2010,113
2012,109
2016,108
2014,100
2008,94
2009,82
2006,74
2004,71
2005,68
2007,68
2003,66
1997,60
2000,57
2002,57
1998,52
2001,48
1996,47
1999,42
1970,40
1968,37
1995,32
1994,31
1969,28
1961,27
1971,27
1987,27
1963,27
1993,27
1962,26
1959,25
1960,25
1990,24
1972,23
1967,22
1966,21
1988,21
1974,21
1978,21
1965,19
1983,19
1964,19
1992,18
1984,18
1975,18
1986,18
1991,17
1977,17
1973,16
1976,15
1989,14
1980,14
1958,13
1985,12
1981,12
1982,11
1979,11
