id,artist,title,weeks
2YpeDb67231RjR0MgVLzsG,Lil Nas X,Old Town Road - Remix,19
6rPO02ozF3bM7NnOV4h6s2,Luis Fonsi,Despacito - Remix,16
7ySbfLwdCwl1EM0zNCJZ38,Mariah Carey,One Sweet Day,16
32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,Uptown Funk (feat. Bruno Mars),14
61sQYdFNS6sEBYCyr1q5gn,Boyz II Men,I'll Make Love To You,14
3LmvfNUQtglbTrydsdIqFU,Mariah Carey,We Belong Together,14
4eHbdreAnSOrDDsFfc4Fpm,Whitney Houston,I Will Always Love You,14
5LjSxAIKwyZvQqJ04ZQ0Da,Elton John,Something About The Way You Look Tonight - Edit Version,14
2df5QsXucx4VLiHNGusXD5,Los Del Rio,Macarena - Bayside Boys Remix,14
5qsbHA7Z5a2vp5wtBIzioT,Black Eyed Peas,I Gotta Feeling - The Best Of The E.N.D. Version,14
6sHsXIJoEN5JpdkGMQDJxt,Brandy,The Boy Is Mine,13
3l3xTXsUXeWlkPqzMs7mPD,Boyz II Men,End Of The Road,13
5rb9QrpfcKFHM1EUbSIurX,Usher,Yeah! (feat. Lil Jon & Ludacris),12
0n2SEXB2qoRQg171q7XqeW,Santana,Smooth (feat. Rob Thomas),12
0n4bITAu0Y0nigrz3MFJMb,Robin Thicke,Blurred Lines,12
