label,year_chart,count
Columbia,2010,83.0
Columbia,2011,80.0
Rhino Atlantic,1968,51.0
Rhino Atlantic,1967,45.0
Rhino Atlantic,1969,37.0
Capitol Records,1963,37.0
Capitol Records,1964,37.0
Rhino Atlantic,1966,36.0
Geffen,1964,35.0
Capitol Records,1966,35.0
Geffen,1965,35.0
Columbia,2012,34.0
UNI/MOTOWN,1967,33.0
Rhino,1968,33.0
Rhino,1969,32.0
UNI/MOTOWN,1971,31.0
UNI/MOTOWN,1968,31.0
Columbia,2009,31.0
Capitol Records,1962,31.0
Capitol Records,1959,31.0
Geffen,1968,30.0
Rhino Atlantic,1964,30.0
Legacy Recordings,1968,30.0
Rhino,1967,30.0
Rhino,1966,29.0
UNI/MOTOWN,1969,29.0
Capitol Records,1969,29.0
UNI/MOTOWN,1966,28.0
Capitol Records,1965,28.0
UNI/MOTOWN,1973,28.0
Geffen,1963,28.0
UNI/MOTOWN,1964,27.0
Rhino,1963,27.0
Rhino Atlantic,1970,27.0
Geffen,1970,27.0
UNI/MOTOWN,1970,26.0
Geffen,1967,26.0
Geffen,1966,26.0
Columbia,2020,25.0
Columbia/Legacy,1971,25.0
Rhino Atlantic,1965,25.0
Columbia,2019,24.0
Geffen,1962,24.0
Capitol Records,1990,24.0
Legacy Recordings,1963,24.0
UNI/MOTOWN,1972,24.0
Rhino,1970,23.0
Columbia/Legacy,1966,23.0
Columbia,1983,23.0
Rhino,1975,23.0
UNI/MOTOWN,1965,23.0
Legacy Recordings,1967,23.0
RCA Records Label,2013,23.0
Rhino/Warner Records,1982,22.0
Rhino/Warner Records,1976,22.0
Rhino Atlantic,1971,22.0
Rhino/Warner Records,1978,22.0
Columbia/Legacy,1963,22.0
Capitol Records,1981,22.0
Capitol Records,1975,21.0
Rhino Atlantic,1991,21.0
Columbia/Legacy,1967,21.0
Rhino,1964,21.0
Rhino,1962,21.0
Columbia,1990,21.0
Capitol Records,1988,21.0
Rhino Atlantic,1977,21.0
Capitol Records,1985,21.0
Columbia/Legacy,1965,21.0
Legacy Recordings,1969,21.0
Rhino,1971,20.0
Rhino Atlantic,1963,20.0
Rhino Atlantic,1973,20.0
Columbia,2000,20.0
Legacy Recordings,1966,20.0
Rhino Atlantic,1962,20.0
Legacy Recordings,1976,20.0
Capitol Records,1991,20.0
Capitol Records,1987,20.0
Rhino/Warner Records,1979,20.0
Rhino Atlantic,1979,20.0
Capitol Records,1970,20.0
Columbia,1985,19.0
Columbia/Legacy,1970,19.0
Geffen,1969,19.0
Columbia,1988,19.0
Legacy Recordings,1971,19.0
Columbia/Legacy,1969,19.0
Rhino Atlantic,1990,19.0
Legacy Recordings,1965,19.0
Geffen,1972,19.0
Rhino Atlantic,1992,19.0
Capitol Records,1960,18.0
Rhino Atlantic,1984,18.0
Legacy Recordings,1979,18.0
Geffen,1983,18.0
Columbia,1978,18.0
Capitol Records,1989,18.0
Rhino Atlantic,1974,18.0
Columbia/Legacy,1968,18.0
Rhino/Warner Records,1971,18.0
Rhino Atlantic,1982,18.0
Capitol Records,1967,18.0
Capitol Records,1979,18.0
Columbia,1992,18.0
Rhino/Warner Records,1977,18.0
Capitol Records,1976,18.0
Rhino,1965,18.0
Rhino Atlantic,1989,18.0
Capitol Records,1974,18.0
Rhino/Warner Records,1980,18.0
Geffen,1991,18.0
UNI/MOTOWN,1974,17.0
Legacy Recordings,1973,17.0
Rhino,1974,17.0
Rhino Atlantic,1961,17.0
Rhino Atlantic,1980,17.0
Columbia/Legacy,1962,17.0
Columbia,1979,17.0
Columbia,1981,17.0
RCA Records Label,2012,17.0
UNI/MOTOWN,1963,17.0
Capitol Records,1986,17.0
Geffen,1987,17.0
Columbia,1987,17.0
Rhino/Warner Records,1988,17.0
Columbia/Legacy,1972,17.0
Capitol Records,1961,17.0
Capitol Records,1973,16.0
Rhino,1977,16.0
Columbia/Legacy,1964,16.0
Legacy Recordings,1974,16.0
Rhino,1976,16.0
Columbia,1984,16.0
Legacy Recordings,1984,16.0
Capitol Records,1980,16.0
Geffen,1989,16.0
UNI/MOTOWN,1976,16.0
Rhino Atlantic,1983,16.0
Capitol Records,1972,16.0
Rhino/Warner Records,1983,16.0
Rhino,1959,16.0
Columbia,1980,16.0
Columbia,2017,16.0
Columbia,1986,16.0
Columbia,1994,15.0
Geffen,1985,15.0
Rhino/Warner Records,1986,15.0
Geffen,1990,15.0
Rhino/Warner Records,1993,15.0
Rhino/Warner Records,1984,15.0
Rhino/Warner Records,1985,15.0
Rhino Atlantic,1972,15.0
Rhino/Warner Records,1991,15.0
Geffen,1961,15.0
Columbia,1982,15.0
Capitol Records,1968,15.0
Rhino/Warner Records,1974,15.0
Rhino Atlantic,1988,15.0
RCA Records Label,2016,15.0
Capitol Records,1982,15.0
Rhino/Warner Records,1967,15.0
Columbia,1989,14.0
Geffen,1960,14.0
Columbia/Legacy,1976,14.0
Columbia,2001,14.0
Rhino/Warner Records,1969,14.0
Geffen,1959,14.0
Capitol Records,1978,14.0
RCA Records Label,2010,14.0
RCA Records Label,2014,14.0
Legacy Recordings,1980,14.0
Columbia,2003,14.0
Geffen,1971,14.0
Rhino/Warner Records,1981,14.0
Rhino,1972,14.0
Rhino/Warner Records,1975,14.0
Legacy Recordings,1964,14.0
Rhino Atlantic,1976,13.0
Legacy Recordings,1981,13.0
Geffen,1974,13.0
Rhino Atlantic,1981,13.0
Rhino Atlantic,1985,13.0
Rhino Atlantic,1993,13.0
Rhino Atlantic,1986,13.0
Rhino Atlantic,1975,13.0
Geffen,1958,13.0
UNI/MOTOWN,1975,13.0
RCA Records Label,2011,13.0
Columbia/Legacy,1974,13.0
RCA Records Label,2018,13.0
RCA Records Label,1997,13.0
Capitol Records,1971,13.0
Columbia/Legacy,1978,13.0
Columbia/Legacy,1983,13.0
Rhino,1978,13.0
RCA Records Label,2009,13.0
Geffen,1986,13.0
Geffen,1988,13.0
Rhino/Warner Records,1987,13.0
Legacy Recordings,1975,13.0
Legacy Recordings,1972,13.0
Columbia,2002,13.0
Legacy Recordings,1970,13.0
Rhino,1980,13.0
Columbia/Legacy,1984,12.0
Columbia,1962,12.0
Columbia/Legacy,1986,12.0
Columbia/Legacy,1961,12.0
Columbia/Legacy,1980,12.0
Rhino,1961,12.0
Columbia/Legacy,1973,12.0
Rhino,1987,12.0
Legacy Recordings,1978,12.0
Geffen,1982,12.0
Columbia,1965,12.0
Geffen,1984,12.0
RCA Records Label,2003,12.0
Columbia,2004,12.0
Rhino/Warner Records,1989,12.0
Columbia,1966,12.0
Geffen,1993,12.0
Rhino/Warner Records,1994,12.0
Rhino/Warner Records,1960,12.0
Capitol Records,1958,12.0
Capitol Records,1992,12.0
Geffen,2005,12.0
Capitol Records,1977,12.0
RCA Records Label,1960,11.0
Columbia,2014,11.0
Columbia,2013,11.0
Legacy Recordings,1982,11.0
RCA Records Label,1962,11.0
Columbia/Legacy,1979,11.0
Columbia,1959,11.0
Rhino/Warner Records,1968,11.0
Capitol Records,1984,11.0
Capitol Records,1983,11.0
UNI/MOTOWN,1962,11.0
Columbia,1975,11.0
Columbia,1977,11.0
Rhino/Warner Records,1970,11.0
Rhino/Warner Records,1963,11.0
UNI/MOTOWN,1977,11.0
