artist,title,weeks,release_date,genres
Imagine Dragons,Radioactive,87,2012-09-04,"['modern rock', 'pop', 'rock']"
AWOLNATION,Sail,79,2011,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
Jason Mraz,I'm Yours,76,2008-05-12,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']"
LeAnn Rimes,How Do I Live,69,2003-11-18,"['country', 'country dawn', 'dance pop', 'pop rock']"
LMFAO,Party Rock Anthem,68,2011-01-01,"['dance pop', 'edm', 'pop', 'pop rap']"
OneRepublic,Counting Stars,68,2014-01-01,"['dance pop', 'piano rock', 'pop', 'pop rock']"
Adele,Rolling in the Deep,65,2011-01-19,"['british soul', 'pop', 'uk pop']"
Carrie Underwood,Before He Cheats,64,2005-11-14,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'oklahoma country', 'pop']"
The Lumineers,Ho Hey,62,2012-04-03,"['folk-pop', 'modern rock', 'stomp and holler']"
Lifehouse,You And Me,62,2005-03-22,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']"
